question,references,corpus_id
What functionalities does Notion AI offer to users?,"[{""content"": ""In this guide, we'll walk you through how Notion AI can help you discover answers, bring information together, and automate tedious tasks \u2014 giving you more time to focus on what really matters"", ""start_index"": 456, ""end_index"": 648}]",raw_articles/article_0.txt
How many sections focus on databases in the Notion reference guide?,"[{""content"": ""4.Databases18 more"", ""start_index"": 220, ""end_index"": 238}]",raw_articles/article_1.txt
How does the integration of Slack with Notion enhance team productivity?,"[{""content"": ""Unleashing productivity with Notion's Slack integrationMake your team more efficient by connecting Slack with Notion. This integration helps you easily gather information, get instant updates, and simplify your workflow\u2014all in one place"", ""start_index"": 8527, ""end_index"": 8763}]",raw_articles/article_2.txt
How can content blocks in Notion be transformed?,"[{""content"": ""Transforming content blocks in NotionLearn how to transform content blocks and discover innovative ways to customize your content and enhance your Notion pages"", ""start_index"": 8356, ""end_index"": 8515}]",raw_articles/article_2.txt
What does 'Create a subpage' in Notion entail?,"[{""content"": ""Create a subpageThere are no folders in Notion. Instead, you can organize pages inside pages... inside pages. Here, we'll show you how to create a page within another page, which we call a subpage \ud83d\udcd1"", ""start_index"": 794, ""end_index"": 992}]",raw_articles/article_3.txt
What features does Notion offer to facilitate team collaboration?,"[{""content"": ""Collaborate with peopleNotion has several features designed to improve and increase the velocity of communication with your team \u2014 whether you're all editing the same page or working across time zones"", ""start_index"": 1781, ""end_index"": 1981}]",raw_articles/article_3.txt
What is the purpose of databases in Notion?,"[{""content"": ""Databases are a core feature in Notion that help you manage and organize your pages"", ""start_index"": 1011, ""end_index"": 1094}]",raw_articles/article_3.txt
What functionalities does Notion offer?,"[{""content"": ""We like to describe Notion as a set of building blocks for creating things you love to use on your computer, such as:DocumentsDatabasesPublic websitesKnowledge basesProject management systemsThe world's most beautiful notes.."", ""start_index"": 209, ""end_index"": 434}]",raw_articles/article_4.txt
What is the primary analogy used to describe the structure of pages in Notion?,"[{""content"": ""Every page you create in Notion will be composed of many \""blocks,\"" in the same way a LEGO castle is composed of many LEGO bricks"", ""start_index"": 870, ""end_index"": 998}]",raw_articles/article_4.txt
How can blocks in Notion be transformed or rearranged?,"[{""content"": ""Any block in Notion can be turned into any other type of block in order to use, view, or deepen that information in a new way"", ""start_index"": 1036, ""end_index"": 1161}, {""content"": ""The\u22ee\u22eebutton can be used to drag and drop existing blocks"", ""start_index"": 1284, ""end_index"": 1340}]",raw_articles/article_5.txt
What initiates the process of adding different types of content in Notion?,"[{""content"": ""Hit the/key on your keyboard (or tap the+button above your keyboard if you're on mobile) to see all the different types of content you can add"", ""start_index"": 873, ""end_index"": 1015}]",raw_articles/article_5.txt
What are the steps to start writing on a new page in Notion?,"[{""content"": ""Once your new page opens, you can give your page a title and start jotting down your thoughts"", ""start_index"": 555, ""end_index"": 648}, {""content"": ""Need some inspiration or structure? On desktop or web, select any of the options at the bottom of the page to get started"", ""start_index"": 649, ""end_index"": 770}, {""content"": ""As you write, highlight any text on your page to bring up a menu of options"", ""start_index"": 922, ""end_index"": 997}]",raw_articles/article_6.txt
How can you start with workspaces in Notion?,"[{""content"": ""When you're brand new to Notion, it's best to keep it simple and start with just one workspace"", ""start_index"": 893, ""end_index"": 987}]",raw_articles/article_7.txt
What functionalities does the sidebar provide in Notion?,"[{""content"": ""Notion's left-hand sidebar makes it easy to structure all the content in your workspace. Here's everything you need to know on how to organize, rearrange, and find your pages within the sidebar"", ""start_index"": 668, ""end_index"": 861}]",raw_articles/article_7.txt
How does the mobile version of Notion workspaces differ from the desktop version?,"[{""content"": ""We've built Notion on mobile to replicate as much desktop functionality as possible. That said, there are a number of interactions that work differently by default"", ""start_index"": 1659, ""end_index"": 1822}]",raw_articles/article_7.txt
How can you customize your sidebar in Notion?,"[{""content"": ""You can rearrange and customize your sidebar sections"", ""start_index"": 2948, ""end_index"": 3001}, {""content"": ""Click and drag your sidebar sections to rearrange them"", ""start_index"": 3155, ""end_index"": 3209}]",raw_articles/article_8.txt
How can you remove a page from favorites in Notion?,"[{""content"": ""To remove a page from your favorites, open it and unclick \u2b50 at the top"", ""start_index"": 3591, ""end_index"": 3661}, {""content"": ""You can also hover over the page in your sidebar and click\u2022\u2022\u2022. You'll see the option toRemove from Favorites"", ""start_index"": 3663, ""end_index"": 3771}]",raw_articles/article_8.txt
What actions can be applied to a page using the ••• icon in the sidebar?,"[{""content"": ""er a page in your sidebar, you'll see both a+button to add a page nested inside it, and a\u2022\u2022\u2022icon, which opens a menu of actions you can apply to the page:Delete,Duplicate,Copy link,Rename, andMove to"", ""start_index"": 4555, ""end_index"": 4754}]",raw_articles/article_8.txt
How can you customize the private section of your sidebar?,"[{""content"": ""To customize the private section of your sidebar:Hover overPrivatein your sidebar and select\u2022\u2022\u2022"", ""start_index"": 2389, ""end_index"": 2484}, {""content"": ""SelectSort, thenManualorLast edited. AManualsort will allow you to manually drag your private pages to order them, while aLast editedsort will order your private pages based on how recently you edited them"", ""start_index"": 2485, ""end_index"": 2690}, {""content"": ""SelectShowto choose how many pages you want displayed in the sidebar, ranging from 5 pages to all of your pages"", ""start_index"": 2691, ""end_index"": 2802}, {""content"": ""Let\u2019s say you choose to show10 items\u2014 if you have more than 10 total private pages, you can click onMoreat the bottom of your private section to see all of your private pages"", ""start_index"": 2804, ""end_index"": 2978}]",raw_articles/article_9.txt
How can you access Notion's search window?,"[{""content"": ""Search:Click to open Notion's search window, where you can either type what you're looking for or jump to a recently visited page. The shortcutcmd/ctrl+Kalso brings it up"", ""start_index"": 1277, ""end_index"": 1447}]",raw_articles/article_9.txt
What options are available for sorting shared pages in your sidebar?,"[{""content"": ""SelectSort, thenManualorLast edited. AManualsort will allow you to manually drag your shared pages to order them, while aLast editedsort will order your shared pages based on how recently you edited them"", ""start_index"": 4309, ""end_index"": 4512}]",raw_articles/article_9.txt
How can multiple email addresses be managed within Notion?,"[{""content"": ""But you may prefer to use your personal email with your personal workspaces, and your work email with your team workspaces"", ""start_index"": 4155, ""end_index"": 4277}, {""content"": ""To add your workspaces from another email account, use theAdd another accountbutton in the workspace switcher at the top left of your Notion window, and follow the steps to login to your other account"", ""start_index"": 7192, ""end_index"": 7392}]",raw_articles/article_10.txt
How can you create a new workspace in Notion?,"[{""content"": ""To create another workspace:Open the workspace switcher at the top left of your Notion window"", ""start_index"": 723, ""end_index"": 816}, {""content"": ""Choose which email account you'd like the new workspace to be associated with, and click the\u2022\u2022\u2022to the right of that email address"", ""start_index"": 817, ""end_index"": 946}, {""content"": ""ClickJoin or create workspace"", ""start_index"": 947, ""end_index"": 976}, {""content"": ""If you want to create a brand new workspace, scroll past the list of existing workspaces and clickCreate workspace"", ""start_index"": 1095, ""end_index"": 1209}, {""content"": ""Follow the steps to set up your new workspace and you're on your way!"", ""start_index"": 1210, ""end_index"": 1279}]",raw_articles/article_10.txt
What can be displayed on any Notion page related to mathematics?,"[{""content"": ""On any Notion page, you can display beautifully formatted, comprehensible mathematical characters, expressions and equations"", ""start_index"": 2234, ""end_index"": 2358}]",raw_articles/article_11.txt
What are the capabilities for organizing content in Notion?,"[{""content"": ""Format your pageNotion is designed to get thoughts out of your head and onto the page. Once they're there, you can rearrange, organize, and structure them to think and write more clearly \ud83d\udcd0"", ""start_index"": 545, ""end_index"": 733}, {""content"": ""Move & duplicate contentIf you have multiple Notion workspaces or accounts, you may want to move content from one to another. We'll show you how \ud83d\udce6"", ""start_index"": 1335, ""end_index"": 1481}, {""content"": ""Delete & restore contentAny content you add to Notion can be duplicated or deleted with a couple clicks, whether that's an image, embed, page, or database. And if you ever get rid of content and need to get that work back \u2014 we got you covered on that too \ud83d\udd87"", ""start_index"": 1481, ""end_index"": 1737}]",raw_articles/article_11.txt
How can you disable the spell check in Notion for desktop?,"[{""content"": ""Notion for desktop has a built-in spell check that\u2019s on by default. To turn this off:Right-click a typo in a page.In the menu that appears, selectDisable spell check"", ""start_index"": 6372, ""end_index"": 6537}]",raw_articles/article_12.txt
How can you create a bulleted list in Notion?,"[{""content"": ""At the beginning of any line of text, try these shortcuts:Type*,-, or+followed byspaceto create a bulleted list"", ""start_index"": 8910, ""end_index"": 9021}]",raw_articles/article_12.txt
How can you convert a simple table into a database in Notion?,"[{""content"": ""Convert a simple table to a databaseWhile a simple table lets you quickly visualize information, you can convert it to a database any time you need database functionality such as filters, sorts, or specific property value types"", ""start_index"": 2452, ""end_index"": 2679}, {""content"": ""Click the\u2022\u2022\u2022menu hovering at the top of the simple table. ClickTurn into database"", ""start_index"": 2713, ""end_index"": 2794}]",raw_articles/article_13.txt
How can you add a table of contents block in Notion?,"[{""content"": ""Hover over a new block on your page and select+. In the menu that appears, find and selectTable of contents"", ""start_index"": 4218, ""end_index"": 4325}, {""content"": ""Enter/in a page and start typingtable of contents. SelectTable of contentsin the menu that appears"", ""start_index"": 4326, ""end_index"": 4424}]",raw_articles/article_13.txt
